0,auto_brand_en,item_kind_name_en,car_year,car_price,car_mileage,auto_gas_size,car_color,car_driveMode,car_fuel,car_door,car_seat,auto_tab_name,photo
1,Honda,Civic,2013,360000,96000,1800,灰色,2,汽油,4,5,自排,https://p1.8891.com.tw/2021/06/27/1624768704020723_220_165.jpg
2,Honda,Fit,2018,430000,20000,1500,白色,2,汽油,5,5,自排,https://p2.8891.com.tw/2021/06/07/1623046823218316_220_165.jpg
3,Mercedes-Benz,A-Class,2020,1830000,1000,2000,白色,4,汽油,5,5,手自排,https://p2.8891.com.tw/2021/06/17/1623911794290480_220_165.jpg
4,Mercedes-Benz,E-Class Estate,2018,2380000,56000,2000,黑色,4,汽油,5,5,手自排,https://p1.8891.com.tw/2021/06/28/1624869010900403_220_165.jpg
5,Mercedes-Benz,GLC,2016,1530000,95000,2000,白色,4,汽油,5,5,手自排,https://p2.8891.com.tw/2021/06/15/1623758014712934_220_165.jpg
6,Mercedes-Benz,GLC,2020,2220000,12000,2000,黑色,4,汽油,5,5,手自排,https://p2.8891.com.tw/2021/05/31/1622439876510202_220_165.jpg
7,Mercedes-Benz,GLC,2017,0,25000,2000,黑色,4,汽油,5,5,手自排,https://p1.8891.com.tw/2021/06/18/1624013761777047_220_165.jpg
8,BMW,X1,2011,520000,121000,2000,白色,2,汽油,5,5,手自排,https://p1.8891.com.tw/2021/06/16/1623855597256711_220_165.jpg
9,Suzuki,Swift,2019,388000,10000,1000,白色,2,汽油,5,5,手自排,https://p1.8891.com.tw/2019/09/21/2/1569047829190067_220_165.jpg
10,Ford,Focus,2017,550000,90000,2000,灰色,2,柴油,5,5,自手排,https://p1.8891.com.tw/2021/03/10/1615348543399211_220_165.jpg
11,Toyota,Corolla Altis,2020,588000,5000,1800,白色,2,汽油,4,5,自排,https://p2.8891.com.tw/2020/07/05/1593950000385364_220_165.jpg
12,Mercedes-Benz,C-Class Sedan,2016,0,51000,2000,白色,4,汽油,4,5,手自排,https://p2.8891.com.tw/2021/06/10/1623311134903104_220_165.jpg
13,Mercedes-Benz,GLC,2017,1600000,32000,2000,黑色,4,汽油,5,5,手自排,https://p1.8891.com.tw/2021/03/25/1616659527441465_220_165.jpg
14,Mercedes-Benz,GLC,2017,1750000,56000,2000,白色,4,汽油,5,5,手自排,https://p2.8891.com.tw/2021/07/02/1625188261696344_220_165.png
15,Mercedes-Benz,C-Class Sedan,2008,0,26000,6500,灰色,2,汽油,4,5,手自排,https://p2.8891.com.tw/2020/11/01/1604221368735446_220_165.jpg
16,Nissan,Juke,2016,420000,80000,1600,藍色,4,汽油,5,5,自排,https://p2.8891.com.tw/2021/06/07/1623047173635860_220_165.jpg

